,index,SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,0,payments.loan_id,subquery1_2.loan_id,,json_data1,0,1,8.0,12,loan_id,loan_id,aliceblue
1,1,payments.payment_amount,subquery1_2.total_interest,SUM(payment_amount * (interest_rate / 100 / 12)),json_data1,0,1,8.0,12,payment_amount,total_interest,orangered
2,1,loans.interest_rate,subquery1_2.total_interest,SUM(payment_amount * (interest_rate / 100 / 12)),json_data1,0,1,13.0,12,interest_rate,total_interest,orangered
3,2,transactions.account_id,subquery1_1.account_id,,json_data1,0,1,15.0,14,account_id,account_id,aliceblue
4,3,transactions.amount,subquery1_1.total_transactions_amount,SUM(amount),json_data1,0,1,15.0,14,amount,total_transactions_amount,orangered
5,4,customers.customer_id,CUSTOMER_BANK_DETAILS.customer_id,,json_data1,0,1,11.0,16,customer_id,customer_id,aliceblue
6,5,customers.first_name,CUSTOMER_BANK_DETAILS.first_name,,json_data1,0,1,11.0,16,first_name,first_name,aliceblue
7,6,customers.last_name,CUSTOMER_BANK_DETAILS.last_name,,json_data1,0,1,11.0,16,last_name,last_name,aliceblue
8,7,customers.email,CUSTOMER_BANK_DETAILS.email,,json_data1,0,1,11.0,16,email,email,aliceblue
9,8,accounts.account_id,CUSTOMER_BANK_DETAILS.account_id,,json_data1,0,1,17.0,16,account_id,account_id,aliceblue
10,9,accounts.balance,CUSTOMER_BANK_DETAILS.balance,,json_data1,0,1,17.0,16,balance,balance,aliceblue
11,10,account_types.account_type_name,CUSTOMER_BANK_DETAILS.account_type_name,,json_data1,0,1,,16,account_type_name,account_type_name,aliceblue
12,11,branches.branch_name,CUSTOMER_BANK_DETAILS.branch_name,,json_data1,0,1,,16,branch_name,branch_name,aliceblue
13,12,branches.branch_city,CUSTOMER_BANK_DETAILS.branch_city,,json_data1,0,1,,16,branch_city,branch_city,aliceblue
14,13,subquery1_1.total_transactions_amount,CUSTOMER_BANK_DETAILS.total_transactions_amount,,json_data1,0,1,14.0,16,total_transactions_amount,total_transactions_amount,aliceblue
15,14,loans.loan_id,CUSTOMER_BANK_DETAILS.loan_id,,json_data1,0,1,13.0,16,loan_id,loan_id,aliceblue
16,15,loans.loan_amount,CUSTOMER_BANK_DETAILS.loan_amount,,json_data1,0,1,13.0,16,loan_amount,loan_amount,aliceblue
17,16,loans.interest_rate,CUSTOMER_BANK_DETAILS.interest_rate,,json_data1,0,1,13.0,16,interest_rate,interest_rate,aliceblue
18,17,subquery1_2.total_interest,CUSTOMER_BANK_DETAILS.total_interest_paid,"CAST(total_interest AS NUMERIC(10, 2))",json_data1,0,1,12.0,16,total_interest,total_interest_paid,orangered
